model,backend,precision,model_revision,dataset,run_path,status,instances,rollouts,expected_rollouts,min_rollouts_per_instance,max_rollouts_per_instance,scored_rollouts,scored_rollout_rate,capped_rollouts,capped_rollout_rate,accuracy,mixed_instances,mixed_instance_rate,frontier_instances,frontier_instance_rate,classification,capture_enabled,temperature,top_p,evaluated_at,notes
Qwen/Qwen3-14B,hf,float16,40c069824f4251a91eefaf281ebe4c544efd3e18,MathArena/aime_2025,runs/Qwen3-14B/aime_2025_frontier_screen,prepared,12,120,120,10,10,,,,,,,,,,pending,false,0.7,0.95,,Twelve AIME 2025 problems; approximately three hours at 22 tokens per second.
Qwen/Qwen3-14B,hf,float16,,apple/GSM-Symbolic,runs/Qwen3-14B/gsm_symbolic_dry,completed,10,100,100,10,10,100,1.0000,0,0.0000,1.0000,0,0.0000,0,0.0000,saturated,True,0.7,0.95,2026-06-26T15:57:11+00:00,Existing sanity run; all 100 answers correct.
Qwen/Qwen3-4B,hf,bfloat16,1cfa9a7208912126459214e8b04321603b3df60c,Qwen/PolyMath,runs/Qwen3-4B/polymath_medium_numeric_screen,completed,20,200,200,10,10,200,1.0000,181,0.9050,0.2250,6,0.3000,4,0.2000,length_capped,False,0.6,0.95,2026-06-26T16:11:43+00:00,English medium scalar-numeric math; same selected tasks as DeepSeek-7B; concise thinking prompt.
Qwen/Qwen3-4B,hf,bfloat16,1cfa9a7208912126459214e8b04321603b3df60c,evalplus/mbppplus,runs/Qwen3-4B/mbppplus_codegen_screen,completed,20,200,200,10,10,0,0.0000,70,0.3500,,0,,0,,unscored,False,0.6,0.95,2026-06-26T16:11:43+00:00,Compact code construction; same selected MBPP+ tasks as SmolLM3-3B; test-based grading required.
Qwen/Qwen3-8B,hf,bfloat16,b968826d9c46dd6066d109eabc6255188de91218,Qwen/PolyMath,runs/Qwen3-8B/polymath_high_numeric_screen,partial,3,22,200,2,10,22,1.0000,22,1.0000,0.2273,1,0.3333,1,0.3333,partial,False,0.6,0.95,2026-06-26T15:57:11+00:00,Retained pilot: 22/22 hit the 4096-token cap; high-en-22 was mixed at 5/10 correct.
Qwen/Qwen3-8B,hf,bfloat16,b968826d9c46dd6066d109eabc6255188de91218,Qwen/PolyMath,runs/Qwen3-8B/polymath_medium_numeric_screen,prepared,20,200,200,10,10,,,,,,,,,,pending,false,0.6,0.95,,English medium-difficulty scalar-numeric replacement; concise thinking prompt and 3072-token cap.
Qwen/Qwen3-8B,hf,bfloat16,b968826d9c46dd6066d109eabc6255188de91218,bigcode/bigcodebench-hard,runs/Qwen3-8B/bigcodebench_hard_codegen_screen,prepared,20,200,200,10,10,,,,,,,,,,pending,false,0.6,0.95,,Hard software-oriented code construction; correctness must be imported from isolated BigCodeBench test execution.
Qwen/Qwen3-8B,hf,bfloat16,b968826d9c46dd6066d109eabc6255188de91218,evalplus/mbppplus,runs/Qwen3-8B/mbppplus_codegen_screen,prepared,20,200,200,10,10,,,,,,,,,,pending,false,0.6,0.95,,Code-construction calibration run; correctness must be imported from isolated MBPP+ test execution.
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,hf,bfloat16,916b56a44061fd5cd7d6a8fb632557ed4f724f60,HuggingFaceH4/aime_2024,runs/DeepSeek-R1-Distill-Qwen-7B/aime_2024_longcap_screen,completed,6,18,18,3,3,18,1.0000,5,0.2778,0.7222,2,0.3333,2,0.3333,middling,False,0.6,0.95,2026-06-26T16:11:43+00:00,AIME 2024 long-cap diagnostic; 13/13 uncapped rollouts were correct; all 5 wrong rollouts were capped; nominal frontier items are cap artifacts.
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,hf,bfloat16,916b56a44061fd5cd7d6a8fb632557ed4f724f60,MathArena/aime_2025,runs/DeepSeek-R1-Distill-Qwen-7B/aime_2025_longcap_screen,completed,6,18,18,3,3,18,1.0000,11,0.6111,0.2778,1,0.1667,1,0.1667,length_capped,False,0.6,0.95,2026-06-26T16:11:43+00:00,AIME 2025 long-cap diagnostic; 11/18 capped; uncapped rollouts were 5/7 correct; only aime_2025_19 was clean frontier.
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,hf,bfloat16,916b56a44061fd5cd7d6a8fb632557ed4f724f60,Qwen/PolyMath,runs/DeepSeek-R1-Distill-Qwen-7B/polymath_medium_numeric_screen,completed,20,200,200,10,10,200,1.0000,172,0.8600,0.2050,8,0.4000,5,0.2500,length_capped,False,0.6,0.95,2026-06-26T16:11:43+00:00,English medium scalar-numeric math; no system prompt per model guidance; concise 2048-token reasoning cap.
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,hf,bfloat16,916b56a44061fd5cd7d6a8fb632557ed4f724f60,bigcode/bigcodebench-hard,runs/DeepSeek-R1-Distill-Qwen-7B/bigcodebench_hard_codegen_screen,completed,20,200,200,10,10,0,0.0000,134,0.6700,,0,,0,,length_capped,False,0.6,0.95,2026-06-26T16:11:43+00:00,Hard practical code construction; no system prompt; test-based grading required.
