sample_id,inventory_group,latest_run,rollouts,correct,incorrect,pass_rate,capped_rollouts,robust_without_caps
gsm_symbolic_6_31,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,3,2,0.6000,1,True
gsm_symbolic_70_1,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,4,1,0.8000,0,True
gsm_symbolic_76_17,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,0,True
gsm_symbolic_76_3,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_76_38,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_76_8,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_78_1,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,4,1,0.8000,1,False
gsm_symbolic_78_17,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,1,9,0.1000,3,True
gsm_symbolic_78_19,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,4,1,0.8000,1,False
gsm_symbolic_78_2,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,2,3,0.4000,3,False
gsm_symbolic_78_20,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,4,1,0.8000,2,False
gsm_symbolic_78_9,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,2,8,0.2000,5,True
gsm_symbolic_7_14,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,2,3,0.4000,2,True
gsm_symbolic_7_19,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,1,True
gsm_symbolic_7_32,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,1,4,0.2000,1,True
gsm_symbolic_7_43,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,2,3,0.4000,0,True
gsm_symbolic_7_47,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,2,True
gsm_symbolic_7_5,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,1,9,0.1000,0,True
gsm_symbolic_80_27,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,7,3,0.7000,0,True
gsm_symbolic_82_9,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,7,3,0.7000,3,False
gsm_symbolic_85_0,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_85_17,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,8,2,0.8000,0,True
gsm_symbolic_85_37,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,1,True
gsm_symbolic_85_45,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,0,True
gsm_symbolic_89_38,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,9,1,0.9000,0,True
gsm_symbolic_89_49,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,1,True
gsm_symbolic_96_23,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,2,8,0.2000,0,True
gsm_symbolic_96_25,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_96_29,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,0,True
gsm_symbolic_96_45,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,8,2,0.8000,0,True
gsm_symbolic_96_49,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,2,True
